Variance,Sim Entropy,Rep Entropy,SPECtrum,Lap Score,Mutual Corre,MICI,MDCM,Linear Depend,MPMR,MCFS,RSPCA,ANOVA F,ReliefF,Info Gain,MRMR,ERFS
29.03994809,665.8597345,0.86816266,5.328325314,3.53E-11,36.09698569,721.8981203,7.94E-06,58491.64721,87.4857762,1370.428939,7143.413122,3689.612806,0.930043704,1.177981126,233.9042626,73.55527557
28.98438694,697.2115453,0.763972601,5.437180012,3.68E-11,43.37415737,721.2220203,3.51E-07,57526.94494,107.0791897,1367.427527,7200.71239,4777.598544,1.256782642,1.531023369,284.9804157,72.54338188
29.09863081,705.6911735,0.74342911,5.344161599,4.01E-11,45.35837214,721.7726333,3.28E-07,56003.91329,106.7551188,1344.969082,7551.213384,4854.304993,1.072064599,1.484859086,291.6713399,72.56841822
29.05716394,714.7025186,0.684316727,5.373550167,4.30E-11,48.16073217,723.8419206,3.07E-08,57227.65092,115.1245592,1368.527261,6302.871552,5749.339187,1.290918502,1.613410873,334.601049,72.45935099
29.05229341,688.3229971,0.760534031,5.03912992,3.41E-11,42.53871,721.2069108,5.21E-07,55282.95039,109.9587631,1366.681929,7625.306844,5245.958227,1.19406551,1.613971462,307.5790964,72.73004379
29.32458208,700.694568,0.658925552,4.687003938,4.31E-11,50.08740941,729.1120184,7.58E-09,54436.95428,128.3089445,1358.576813,7463.891787,5621.648704,1.223474231,1.681404472,320.1480446,72.4412236
28.87499136,666.5086925,0.832507124,5.608270809,3.57E-11,37.12311553,718.9864461,2.35E-06,57523.53828,99.48577175,1365.2587,6554.177045,3598.595666,1.011055742,1.201066677,231.2826738,73.21993617
29.07462149,701.7771123,0.746655256,5.260250301,3.37E-11,44.17953731,725.0791159,2.58E-07,56536.27177,112.4219379,1369.406478,6858.073911,4399.85957,1.123832378,1.458014984,267.9061326,73.05029415
28.99753882,718.7686907,0.681094011,5.576979439,4.26E-11,50.21928436,722.2496508,4.86E-08,58066.17654,117.159114,1364.252519,6119.302245,5124.934129,1.264991831,1.589618425,290.9410271,72.87070517
28.98079802,697.0864473,0.741424326,5.065518249,3.99E-11,43.80647675,719.7474417,1.13E-07,54545.11033,121.7055051,1358.51979,7941.65011,5747.518223,1.21538352,1.660016814,339.6863987,72.40357271
29.07793787,670.4490877,0.778051657,5.227971671,3.86E-11,39.72414278,724.4986193,3.03E-07,57192.78905,110.9972548,1363.952559,7172.902022,5291.781856,1.226073586,1.562177691,315.1963504,72.51059975
28.99589361,694.8869988,0.777256694,5.428357254,4.44E-11,42.52388707,721.1744686,2.55E-07,56886.96124,105.7245883,1250.209212,6810.539712,3974.685333,1.101568858,1.27887846,247.4136783,72.43453732
29.14997436,682.0705143,0.713247955,5.294800635,4.29E-11,43.7032416,724.4047932,4.78E-08,56409.80749,110.0633953,1247.528835,7182.567846,5144.706124,1.221526436,1.52045232,300.3123164,72.6999224
29.10204763,659.9964118,0.784737057,4.945233283,4.39E-11,38.04769899,722.3200468,1.15E-07,55097.87204,109.5366871,1373.02047,7858.556771,4740.762224,1.13978215,1.345957078,289.9259513,72.57813516
