,LNR,RDR,LSR,GBR,RFR
MRMR,0.08244898,0.08244898,0.641463669,0.01877551,0.00244898
ERFS,0.73877551,0.73877551,0.094332893,0.577142857,0.395918367
Variance,0.333877551,0.333877551,0.036056561,0.103673469,0.071020408
Sim Entropy,0.183673469,0.183673469,0.041087709,0.097142857,0.056326531
Rep Entropy,0.074285714,0.074285714,0.031025413,0.093877551,0.053061224
SPECtrum,0.080816327,0.080816327,0.025994265,0.266938776,0.227755102
Lap Score,0.113469388,0.113469388,0.099784436,0.131428571,0.046530612
Mutual Corre,0.010612245,0.010612245,0.014254919,0.115102041,0.071020408
MICI,0.342040816,0.342040816,0.0645664,0.066122449,0.033469388
MDCM,0.147755102,0.147755102,0.000838525,0.121632653,0.000816327
Linear Depend,0.028571429,0.028571429,0.03941066,0.06122449,0.051428571
MPMR,0.059591837,0.059591837,0.047795906,0.14122449,0.074285714
MCFS,0.235918367,0.235918367,0.0645664,0.188571429,0.175510204
RSPCA,0.090612245,0.090612245,0.136679522,0.168979592,0.020408163
ANOVA F,0.062857143,0.062857143,0.24233363,0.164081633,0.075918367
ReliefF,0.289795918,0.289795918,0.463704144,0.07755102,0.031836735
Info Gain,0.030204082,0.030204082,0.193699199,0.066122449,0.000816327
MRMR,0.041632653,0.041632653,0.29432216,0.155918367,0.080816327
ERFS,0.72244898,0.72244898,0.145064768,0.306122449,0.165714286
Variance,0.272727273,0.272727273,0.03739788,0.127272727,0.090909091
Sim Entropy,0.236363636,0.236363636,0.112193639,0.163636364,0.163636364
Rep Entropy,0.054545455,0.054545455,0.186989398,0.018181818,0.2
SPECtrum,0.018181818,0.018181818,0.112193639,0.163636364,0.2
Lap Score,0.2,0.2,0.149591518,0.345454545,0.018181818
Mutual Corre,0.163636364,0.163636364,0.224387278,0.018181818,0.163636364
MICI,0.309090909,0.309090909,0.224387278,0.018181818,0.054545455
MDCM,0.127272727,0.127272727,0.149591518,0.018181818,0.090909091
Linear Depend,0.236363636,0.236363636,0.261785157,0.090909091,0.054545455
MPMR,0.127272727,0.127272727,0.149591518,0.018181818,0.090909091
MCFS,0.418181818,0.418181818,0.074795759,0.490909091,0.163636364
RSPCA,0.2,0.2,0.112193639,0.309090909,0.090909091
ANOVA F,0.018181818,0.018181818,0,0.018181818,0.018181818
ReliefF,0.345454545,0.345454545,0.486172435,0.236363636,0.054545455
Info Gain,0.2,0.2,0.03739788,0.127272727,0.018181818
MRMR,0.2,0.2,0.112193639,0.054545455,0.090909091
ERFS,0.636363636,0.636363636,0.224387278,0.2,0.090909091
