Unnamed: 0,SVM,RFC,LRC,KNN,DST
Mutual Corre,0.438915983,0.407406251,0.005595331,0.601729673,0.332049705
MICI,0.108340021,0.126436423,0.195836568,0.387224188,0.092734602
MDCM,0.30001852,0.418645044,0.137085598,0.476369324,0.305126756
Linear Depend,0.463917527,0.643420907,0.100715949,0.306436408,0.212392154
MPMR,0.30001852,0.418645044,0.137085598,0.476369324,0.305126756
MCFS,0.227791839,0.202298276,0.285361856,0.45408304,0.245297981
RSPCA,0.233347738,0.036526078,0.198634233,0.45408304,0.131623307
ANOVA F,0.516698563,0.519794183,0.128692602,0.523727678,0.278203807
ReliefF,0.569479599,0.500126295,0.262980534,0.77166259,0.020940072
Info Gain,0.43296765,0.265574872,0.039384309,0.417381684,0.324865294
MRMR,0.45280573,0.286589225,0.229408551,0.688089024,0.059828776
ERFS,0.502808816,0.101149138,0.190241238,0.451297255,0.101708919
