Unnamed: 0,SVM,RFC,LRC,KNN,DST
MICI,0.040312968,0.124496691,0.14994115,0.270665981,0.09078413
MDCM,0.201564842,0.262826347,0.122679123,0.351865775,0.211829636
Linear Depend,0.282190779,0.511819728,0.122679123,0.189466187,0.151306883
MPMR,0.201564842,0.262826347,0.122679123,0.351865775,0.211829636
MCFS,0.201564842,0.124496691,0.231727232,0.351865775,0.211829636
RSPCA,0.17468953,0.013832966,0.095417096,0.43306557,0.121045507
ANOVA F,0.416567341,0.401156003,0.068155068,0.405998971,0.18156826
ReliefF,0.416567341,0.373490072,0.25898926,0.622531756,0
Info Gain,0.301483032,0.197496772,0.013900961,0.317430157,0.24688536
MRMR,0.335941404,0.235160415,0.204465205,0.595465158,0.060522753
ERFS,0.362816716,0.069164828,0.14994115,0.378932373,0.09078413
