,linear,ridge,lasso,gradboost,randomforest
MRMR,0.8690036014405762,0.8707322929171669,0.8690036014405762,0.27385354141656665,0.4850420168067227
ERFS,0.14189675870348137,0.12528211284513804,0.14189675870348137,0.047490996398559415,0.13747899159663865
Variance,0.2167106842737095,0.19615846338535411,0.2167106842737095,0.07207683073229292,0.06545018007202881
Sim Entropy,0.13027611044417767,0.16542617046818728,0.13027611044417767,0.1280672268907563,0.11346938775510206
Rep Entropy,0.29911164465786316,0.31418967587034813,0.29911164465786316,0.03154861944777911,0.002352941176470588
SPECtrum,0.11068427370948379,0.12201680672268907,0.11068427370948379,0.01915966386554622,0.0034093637454981987
Lap Score,0.03231692677070828,0.043745498199279705,0.03231692677070828,0.10472989195678271,0.07764705882352942
Mutual Corre,0.19471788715486196,0.2242016806722689,0.19471788715486196,0.07841536614645858,0.023289315726290515
MICI,0.12201680672268907,0.10232893157262904,0.12201680672268907,0.10521008403361343,0.10482593037214885
MDCM,0.2876830732292917,0.30045618247298916,0.2876830732292917,0.019927971188475387,0.09963985594237695
Linear Depend,0.37488595438175265,0.3863145258103241,0.37488595438175265,0.008979591836734692,0.012340936374549819
MPMR,0.24974789915966386,0.25791116446578627,0.24974789915966386,0.058727490996398554,0.017623049219687877
MCFS,0.04096038415366146,0.05517406962785113,0.04096038415366146,0.16801920768307324,0.10549819927971187
RSPCA,0.2674189675870348,0.25138055222088834,0.2674189675870348,0.03942376950780312,0.169171668667467
ANOVA F,0.6368787515006001,0.6518607442977191,0.6368787515006001,0.05018007202881152,0.29834333733493396
ReliefF,0.38957983193277307,0.4160864345738295,0.38957983193277307,0.05248499399759904,0.02357743097238895
Info Gain,0.3932292917166867,0.41503001200480194,0.3932292917166867,0.05248499399759904,0.20941176470588235
MRMR,0.6959423769507803,0.7053541416566627,0.6959423769507803,0.0885954381752701,0.3212004801920768
ERFS,0.031068427370948382,0.03385354141656663,0.031068427370948382,0.03903961584633854,0.2673229291716686
Variance,0.12576230492196877,0.1226890756302521,0.12701080432172868,0.35193277310924365,0.17762304921968786
Sim Entropy,0.1630252100840336,0.17647058823529413,0.15879951980792315,0.04,0.21834333733493394
Rep Entropy,0.12480192076830732,0.16388955582232892,0.1210564225690276,0.020120048019207682,0.33483793517406957
SPECtrum,0.25349339735894355,0.27241296518607444,0.2482112845138055,0.08312124849939975,0.3892917166866746
Lap Score,0.20845138055222087,0.2062424969987995,0.20969987995198078,0.33224489795918366,0.0036974789915966387
Mutual Corre,0.12355342136854741,0.15505402160864346,0.12009603841536615,0.05623049219687875,0.27836734693877546
MICI,0.09771908763505403,0.10232893157262904,0.09848739495798318,0.26713085234093636,0.13575030012004802
MDCM,0.14266506602641055,0.1431452581032413,0.13911164465786313,0.044801920768307316,0.2745258103241296
Linear Depend,0.040480192076830734,0.022328931572629048,0.04096038415366146,0.02799519807923169,0.12144057623049219
MPMR,0.06151260504201681,0.09061224489795917,0.06160864345738295,0.036638655462184866,0.17915966386554621
MCFS,0.06381752701080431,0.06996398559423768,0.062472989195678265,0.018679471788715485,0.10434573829531814
RSPCA,0.14055222088835534,0.15428571428571428,0.14506602641056424,0.2285234093637455,0.07418967587034814
ANOVA F,0.5977911164465786,0.6388955582232894,0.5951980792316927,0.23812725090036013,0.6264105642256903
ReliefF,0.3806482593037215,0.42914765906362545,0.3801680672268907,0.17349339735894356,0.4967587034813925
Info Gain,0.17205282112845138,0.2168067226890756,0.1700360144057623,0.031644657863145256,0.30785114045618245
MRMR,0.6478271308523409,0.683265306122449,0.6454261704681872,0.30516206482593033,0.6378391356542618
