,linear,ridge,lasso,gradboost,randomforest
Variance,0.0008163265306122448,0.0024489795918367346,0.0008163265306122448,0.22448979591836735,0.1657142857142857
Sim Entropy,0.11183673469387755,0.11183673469387755,0.11183673469387755,0.12653061224489798,0.012244897959183673
Rep Entropy,0.3142857142857143,0.30775510204081635,0.3142857142857143,0.11183673469387755,0.21959183673469387
SPECtrum,0.1820408163265306,0.17224489795918366,0.1820408163265306,0.07755102040816327,0.1820408163265306
Lap Score,0.026938775510204082,0.020408163265306124,0.026938775510204082,0.19020408163265307,0.06938775510204082
Mutual Corre,0.31918367346938775,0.3159183673469388,0.31918367346938775,0.04816326530612245,0.1657142857142857
MICI,0.07918367346938775,0.08244897959183674,0.07918367346938775,0.19020408163265307,0.1510204081632653
MDCM,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.17224489795918366,0.25387755102040815
Linear Depend,0.20326530612244897,0.20653061224489797,0.20326530612244897,0.005714285714285714,0.012244897959183673
MPMR,0.005714285714285714,0.008979591836734694,0.005714285714285714,0.026938775510204082,0.13795918367346938
MCFS,0.15918367346938775,0.1526530612244898,0.15918367346938775,0.05795918367346938,0.05142857142857143
RSPCA,0.038367346938775505,0.044897959183673466,0.038367346938775505,0.2,0.13795918367346938
ANOVA F,0.6604081632653062,0.6604081632653062,0.6604081632653062,0.18693877551020407,0.3240816326530612
ReliefF,0.43020408163265306,0.433469387755102,0.43020408163265306,0.005714285714285714,0.1853061224489796
Info Gain,0.516734693877551,0.516734693877551,0.516734693877551,0.1510204081632653,0.2457142857142857
MRMR,0.6881632653061225,0.6946938775510204,0.6881632653061225,0.2146938775510204,0.35836734693877553
ERFS,0.10530612244897959,0.09224489795918367,0.10530612244897959,0.038367346938775505,0.07918367346938775
Variance,0.1461224489795918,0.13142857142857142,0.1461224489795918,0.038367346938775505,0.04163265306122449
Sim Entropy,0.09714285714285714,0.12163265306122449,0.09714285714285714,0.07918367346938775,0.07428571428571429
Rep Entropy,0.19346938775510203,0.2016326530612245,0.19346938775510203,0.030204081632653063,0.0008163265306122448
SPECtrum,0.07102040816326531,0.07918367346938775,0.07102040816326531,0.0024489795918367346,0.005714285714285714
Lap Score,0.012244897959183673,0.026938775510204082,0.012244897959183673,0.07755102040816327,0.05306122448979592
Mutual Corre,0.13795918367346938,0.15591836734693879,0.13795918367346938,0.05142857142857143,0.020408163265306124
MICI,0.08081632653061226,0.06612244897959184,0.08081632653061226,0.05795918367346938,0.07428571428571429
MDCM,0.20489795918367348,0.21306122448979592,0.20489795918367348,0.017142857142857144,0.08244897959183674
Linear Depend,0.2636734693877551,0.27183673469387754,0.2636734693877551,0.004081632653061224,0.0024489795918367346
MPMR,0.1689795918367347,0.16734693877551018,0.1689795918367347,0.03183673469387755,0.010612244897959184
MCFS,0.020408163265306124,0.03183673469387755,0.020408163265306124,0.12326530612244897,0.07918367346938775
RSPCA,0.17877551020408164,0.16734693877551018,0.17877551020408164,0.018775510204081632,0.12000000000000001
ANOVA F,0.4595918367346939,0.48408163265306126,0.4595918367346939,0.05469387755102041,0.17061224489795918
ReliefF,0.2587755102040816,0.28653061224489795,0.2587755102040816,0.03183673469387755,0.017142857142857144
Info Gain,0.2816326530612245,0.2963265306122449,0.2816326530612245,0.04,0.1363265306122449
MRMR,0.52,0.5314285714285715,0.52,0.08571428571428572,0.1820408163265306
ERFS,0.018775510204081632,0.023673469387755105,0.018775510204081632,0.012244897959183673,0.19020408163265307
Variance,0.07102040816326531,0.07265306122448979,0.07102040816326531,0.2506122448979592,0.12326530612244897
Sim Entropy,0.12653061224489798,0.1346938775510204,0.12326530612244897,0.02530612244897959,0.14775510204081632
Rep Entropy,0.0873469387755102,0.11183673469387755,0.08408163265306123,0.026938775510204082,0.22938775510204082
SPECtrum,0.17224489795918366,0.1836734693877551,0.1689795918367347,0.06285714285714286,0.2914285714285714
Lap Score,0.1461224489795918,0.14448979591836733,0.14938775510204083,0.23428571428571426,0.0024489795918367346
Mutual Corre,0.08081632653061226,0.10530612244897959,0.07755102040816327,0.03183673469387755,0.17714285714285716
MICI,0.059591836734693884,0.06448979591836734,0.059591836734693884,0.19346938775510203,0.07265306122448979
MDCM,0.11510204081632652,0.11020408163265306,0.11183673469387755,0.018775510204081632,0.1657142857142857
Linear Depend,0.038367346938775505,0.026938775510204082,0.038367346938775505,0.015510204081632652,0.09387755102040816
MPMR,0.061224489795918366,0.07918367346938775,0.061224489795918366,0.038367346938775505,0.11183673469387755
MCFS,0.05469387755102041,0.0563265306122449,0.05469387755102041,0.015510204081632652,0.059591836734693884
RSPCA,0.07918367346938775,0.09714285714285714,0.08244897959183674,0.16734693877551018,0.020408163265306124
ANOVA F,0.4040816326530612,0.4416326530612245,0.4008163265306122,0.16408163265306122,0.40244897959183673
ReliefF,0.26857142857142857,0.3093877551020408,0.26857142857142857,0.12000000000000001,0.32571428571428573
Info Gain,0.11183673469387755,0.13959183673469389,0.10857142857142857,0.013877551020408163,0.20816326530612245
MRMR,0.44653061224489793,0.48081632653061224,0.44326530612244897,0.22285714285714286,0.4057142857142857
ERFS,0.017142857142857144,0.012244897959183673,0.013877551020408163,0.07102040816326531,0.1036734693877551
Variance,0.21632653061224488,0.22285714285714286,0.2179591836734694,0.1363265306122449,0.11836734693877553
Sim Entropy,0.09551020408163266,0.11183673469387755,0.09714285714285714,0.022040816326530613,0.05306122448979592
Rep Entropy,0.059591836734693884,0.08571428571428572,0.061224489795918366,0.05469387755102041,0.2522448979591837
SPECtrum,0.20326530612244897,0.27183673469387754,0.20489795918367348,0.09714285714285714,0.23265306122448978
Lap Score,0.02857142857142857,0.02857142857142857,0.030204081632653063,0.12979591836734694,0.04979591836734694
Mutual Corre,0.12000000000000001,0.13306122448979593,0.12163265306122449,0.10204081632653061,0.1951020408163265
MICI,0.2,0.22612244897959186,0.2016326530612245,0.09387755102040816,0.06285714285714286
MDCM,0.1461224489795918,0.11673469387755102,0.14448979591836733,0.09224489795918367,0.14122448979591837
Linear Depend,0.1951020408163265,0.1820408163265306,0.19346938775510203,0.07918367346938775,0.06938775510204082
MPMR,0.04816326530612245,0.04163265306122449,0.04653061224489796,0.02530612244897959,0.15755102040816327
MCFS,0.008979591836734694,0.04979591836734694,0.007346938775510204,0.10857142857142857,0.1657142857142857
RSPCA,0.27183673469387754,0.27836734693877546,0.27346938775510204,0.15918367346938775,0.16081632653061226
ANOVA F,0.05306122448979592,0.0563265306122449,0.05142857142857143,0.20326530612244897,0.3551020408163265
ReliefF,0.11020408163265306,0.10040816326530612,0.11183673469387755,0.16081632653061226,0.25387755102040815
Info Gain,0.12326530612244897,0.1036734693877551,0.12489795918367345,0.06938775510204082,0.26040816326530614
MRMR,0.11020408163265306,0.11673469387755102,0.10857142857142857,0.20489795918367348,0.356734693877551
ERFS,0.0008163265306122448,0.04326530612244898,0.0024489795918367346,0.10857142857142857,0.1363265306122449
