0.712,0.792,0.744,0.776,0.704,1,2,3,6,7,8,12,15,23,28,30,32,33,34,38,39,41,42,44,45,47,57,58,59
0.616,0.776,0.704,0.752,0.72,0,1,3,10,12,13,14,16,19,20,21,22,23,24,26,28,41,42,44,48,51,52,54,58
0.656,0.728,0.672,0.704,0.664,5,7,12,13,15,16,19,20,21,22,26,28,31,36,37,38,39,40,42,43,46,55,58,59
0.64,0.752,0.696,0.672,0.672,3,4,5,7,14,15,18,19,21,25,26,29,36,37,39,40,42,46,50,52,54,56,57,59
0.672,0.832,0.728,0.76,0.704,0,1,4,7,8,11,15,16,18,19,22,25,29,31,33,35,43,47,49,52,53,54,57,59
0.64,0.808,0.664,0.712,0.6,1,2,3,4,6,8,9,23,27,28,37,38,40,42,43,44,47,50,51,53,54,55,57,58
0.664,0.72,0.728,0.704,0.704,0,1,4,5,6,10,15,18,20,21,22,26,27,30,32,34,35,38,40,49,53,54,55,59
0.696,0.8,0.784,0.784,0.688,1,8,10,12,19,20,24,26,27,29,31,32,36,38,41,42,43,44,47,48,49,51,52,55
0.752,0.792,0.744,0.72,0.688,3,6,7,8,10,11,15,19,20,23,25,26,27,29,31,33,35,37,40,41,50,55,56,58
0.736,0.824,0.736,0.76,0.696,0,1,3,5,6,10,16,17,23,24,26,28,29,30,33,35,38,41,42,47,51,53,54,56
0.704,0.808,0.752,0.744,0.624,5,6,11,13,15,17,23,27,28,32,35,38,39,40,44,45,46,47,48,53,54,55,57,59
0.72,0.776,0.792,0.768,0.688,0,1,2,5,8,12,15,16,18,33,34,36,39,41,42,43,44,45,49,51,52,53,54,55
0.616,0.704,0.624,0.736,0.656,2,6,14,17,19,22,23,24,25,26,28,29,32,37,43,45,46,47,48,49,52,55,58,59
0.736,0.768,0.76,0.728,0.752,3,6,7,9,17,18,19,20,22,23,24,28,29,32,35,37,38,44,45,46,47,50,52,56
0.736,0.784,0.736,0.792,0.688,2,3,5,9,10,12,19,20,23,26,28,29,31,36,38,40,43,44,45,50,51,53,56,58
0.672,0.816,0.68,0.792,0.744,3,8,10,11,13,15,16,24,25,27,29,30,33,38,41,42,44,45,46,52,54,56,58,59
0.744,0.792,0.792,0.76,0.704,0,10,11,15,21,23,24,28,32,35,36,37,38,39,40,43,45,47,49,50,52,56,57,58
0.792,0.792,0.768,0.768,0.688,0,1,4,5,9,13,14,15,21,22,25,27,32,34,39,40,41,42,46,48,49,50,51,55
0.712,0.816,0.712,0.776,0.64,0,2,8,9,15,16,17,20,24,26,27,28,30,32,36,41,43,50,52,53,54,55,56,59
0.744,0.792,0.76,0.736,0.736,0,2,4,5,7,10,12,15,17,18,19,21,26,31,32,34,38,39,41,42,47,49,52,54
0.712,0.792,0.736,0.736,0.76,0,6,7,11,13,14,16,18,26,29,30,33,35,36,37,38,42,46,47,50,51,53,54,57
0.712,0.792,0.728,0.776,0.752,2,3,6,11,12,14,20,21,23,24,26,29,30,33,36,43,45,48,52,53,54,55,56,58
0.768,0.808,0.76,0.824,0.648,2,3,4,7,9,10,22,23,24,27,29,31,32,34,35,36,38,39,42,44,45,47,53,55
0.72,0.792,0.76,0.688,0.528,0,2,3,4,5,9,16,18,19,21,28,29,32,33,34,35,37,45,49,52,53,56,58,59
0.688,0.752,0.664,0.72,0.736,1,2,6,7,8,11,12,20,21,26,28,29,31,33,36,37,40,42,43,51,55,57,58,59
0.712,0.808,0.736,0.704,0.688,1,3,6,10,11,15,16,17,19,20,21,26,27,30,33,34,36,39,47,51,52,53,55,59
0.6,0.848,0.68,0.752,0.704,1,2,5,8,11,15,17,22,24,25,28,29,31,36,37,38,42,43,44,49,53,55,57,58
0.72,0.784,0.736,0.696,0.672,2,6,10,14,18,20,21,24,26,27,30,38,39,40,46,48,49,51,52,53,55,57,58,59
0.688,0.792,0.744,0.744,0.664,0,1,3,6,8,11,22,24,26,27,28,29,31,32,36,37,38,42,43,44,45,52,53,56
0.736,0.8,0.752,0.784,0.736,0,1,2,8,9,10,11,13,14,17,19,22,28,29,30,31,37,38,42,45,47,49,50,59
0.704,0.808,0.704,0.72,0.744,2,6,7,8,11,13,14,20,21,23,29,30,33,34,36,37,38,41,45,49,52,53,56,58
0.744,0.8,0.736,0.744,0.752,1,2,5,7,8,9,10,11,13,16,20,24,25,27,30,35,36,43,50,52,53,54,56,57
0.728,0.816,0.76,0.728,0.672,1,10,14,15,16,17,19,20,24,25,27,28,30,34,35,36,38,39,42,44,47,51,56,58
