0.688,0.816,0.752,0.768,0.744,2,6,7,8,9,10,11,12,13,15,16,17,20,22,24,30,32,33,34,35,36,37,39,40,42,44,45,46,48,51,52,53,54,56,57,59
0.68,0.832,0.728,0.744,0.664,1,2,3,4,6,7,11,12,13,14,17,18,20,21,22,26,27,29,30,35,36,38,39,41,42,44,45,50,51,52,53,54,55,57,58,59
0.688,0.792,0.784,0.768,0.64,0,1,2,3,4,5,6,7,8,9,10,14,15,18,19,20,21,22,23,24,27,29,30,32,33,34,35,36,41,44,45,49,51,52,53,54
0.712,0.864,0.744,0.744,0.76,0,1,2,3,4,10,11,13,15,16,17,18,20,21,23,25,27,28,30,31,32,34,35,36,42,43,44,47,48,50,52,53,54,56,57,58
0.712,0.84,0.736,0.728,0.68,0,1,2,3,4,7,9,11,13,14,16,18,20,21,22,23,24,25,26,27,29,30,31,32,34,36,41,42,46,49,51,52,54,56,57,58
0.72,0.808,0.736,0.808,0.736,0,2,3,4,5,7,9,13,15,20,22,23,24,26,28,29,32,33,34,35,37,38,39,41,42,43,45,46,47,48,49,50,53,54,58,59
0.752,0.848,0.824,0.776,0.736,1,2,3,4,8,9,10,11,14,15,16,19,23,27,28,29,30,31,33,36,37,38,41,42,43,44,45,46,47,48,49,53,55,57,58,59
0.728,0.776,0.76,0.76,0.736,1,2,3,7,9,11,12,14,16,19,20,21,22,23,24,25,27,28,29,30,31,33,34,38,39,40,41,42,44,45,50,52,53,54,56,57
0.68,0.832,0.712,0.704,0.632,0,3,6,7,8,13,16,17,19,20,23,24,25,27,28,29,30,32,34,35,37,38,40,41,42,44,45,46,49,50,51,52,54,55,58,59
0.704,0.816,0.736,0.752,0.712,0,3,4,5,6,7,9,10,12,14,15,17,18,19,21,24,25,26,28,29,30,31,33,36,38,39,40,41,43,45,47,49,53,54,58,59
0.72,0.8,0.72,0.744,0.704,1,2,3,4,5,7,8,9,10,11,12,13,15,16,17,18,19,24,25,27,31,32,35,36,37,45,46,48,49,50,51,53,54,55,56,57
0.712,0.824,0.752,0.752,0.68,0,1,2,3,4,5,6,7,10,14,16,20,22,23,24,27,29,32,33,35,36,37,38,39,40,43,44,45,46,47,48,50,51,53,55,58
0.72,0.824,0.784,0.776,0.712,0,1,2,3,5,6,7,8,12,13,14,15,17,18,21,22,23,24,25,26,27,29,31,32,34,36,37,39,40,42,44,46,47,50,52,53
0.664,0.824,0.736,0.816,0.728,3,5,6,7,8,10,11,13,15,17,21,25,27,28,30,31,32,33,34,35,36,37,40,41,42,44,45,46,47,48,49,54,55,56,58,59
0.768,0.856,0.776,0.72,0.688,0,4,7,9,10,11,13,14,15,16,17,19,20,23,25,26,27,28,29,30,32,34,35,36,38,40,41,43,44,45,47,49,50,52,55,58
0.744,0.816,0.752,0.752,0.696,0,2,4,7,9,11,16,17,19,20,22,23,24,25,26,28,31,32,34,35,36,38,39,41,42,44,46,47,49,52,54,55,56,57,58,59
0.72,0.816,0.752,0.792,0.72,0,1,2,5,6,9,10,11,14,15,16,17,22,24,25,27,31,32,33,35,36,37,38,39,41,42,44,47,50,51,53,55,56,57,58,59
0.752,0.84,0.768,0.736,0.688,0,1,6,8,11,12,14,15,16,18,20,22,23,26,27,29,30,36,38,39,41,44,45,46,47,48,49,50,51,52,53,54,55,56,57,59
0.784,0.832,0.8,0.792,0.76,0,1,2,4,8,9,10,11,12,13,15,22,23,24,25,29,30,31,32,33,34,35,36,38,39,41,43,45,46,47,50,51,53,55,56,59
0.688,0.824,0.696,0.736,0.752,0,1,4,5,6,8,9,11,13,17,18,20,21,22,23,24,26,28,29,30,31,33,34,37,38,42,43,44,46,50,51,53,54,57,58,59
0.672,0.832,0.72,0.728,0.712,0,3,4,5,6,8,9,10,13,14,15,18,20,21,22,24,25,26,28,30,32,34,36,41,42,45,46,47,48,50,52,54,55,56,57,59
0.704,0.824,0.784,0.784,0.776,2,3,5,6,7,9,11,13,14,17,18,19,20,22,24,28,29,30,31,32,33,37,38,39,42,43,44,45,47,49,50,52,53,55,56,58
0.688,0.824,0.744,0.792,0.688,0,1,2,3,4,5,6,7,8,9,10,11,16,19,20,21,25,26,27,32,33,34,36,37,39,41,42,43,44,45,46,48,50,52,55,58
0.64,0.84,0.712,0.752,0.712,0,1,4,5,6,7,8,10,12,13,15,16,17,19,22,23,25,26,30,31,32,34,39,41,44,45,47,48,49,51,53,54,55,56,57,58
0.72,0.816,0.752,0.792,0.728,0,2,4,5,6,7,8,10,11,12,13,14,16,21,24,25,27,28,29,30,33,34,35,37,40,41,42,43,44,45,46,52,53,54,57,58
0.736,0.848,0.816,0.76,0.664,0,2,3,4,6,7,11,12,13,14,15,20,21,22,24,25,26,27,29,30,33,35,36,37,38,40,43,46,47,48,51,52,53,54,55,56
0.72,0.792,0.8,0.736,0.656,1,2,5,6,7,9,10,14,16,17,18,20,21,23,27,28,29,30,31,33,34,35,36,37,41,43,44,46,47,48,49,50,51,52,54,57
