0.768,0.84,0.768,0.76,0.728,5,7,8,11,12,14,16,17,23,24,27,28,30,31,35,36,37,38,39,44,45,47,48,50,51,54,55,57,58,59
0.712,0.792,0.712,0.76,0.712,1,2,4,6,7,9,12,19,20,23,24,25,27,31,34,36,37,38,39,40,42,47,48,49,50,51,53,56,58,59
0.752,0.8,0.744,0.792,0.688,0,1,2,4,7,8,9,11,19,20,22,24,25,26,27,29,32,38,39,40,42,43,44,46,47,51,52,54,57,58
0.648,0.792,0.704,0.784,0.648,1,2,3,4,7,8,10,12,14,19,21,22,24,25,31,37,39,42,43,45,46,47,48,52,53,54,55,57,58,59
0.792,0.848,0.776,0.768,0.744,1,4,5,8,9,11,12,13,15,18,19,20,22,24,27,29,30,31,32,33,35,36,38,44,45,47,49,51,53,54
0.68,0.76,0.688,0.728,0.664,0,1,2,3,4,5,6,8,9,10,12,16,17,22,23,24,25,26,31,32,33,34,38,39,40,41,45,54,58,59
0.672,0.824,0.744,0.808,0.696,1,2,6,8,9,11,15,16,21,22,23,24,25,26,29,31,32,34,36,39,41,42,44,45,48,49,52,53,56,58
0.712,0.784,0.776,0.712,0.696,0,6,7,8,9,13,14,15,16,17,18,20,21,22,23,24,26,27,30,31,32,36,37,43,44,47,50,51,55,56
0.72,0.768,0.736,0.736,0.68,3,5,6,12,15,16,17,21,23,24,26,29,30,32,35,36,37,38,41,42,43,44,48,49,51,53,54,55,58,59
0.736,0.792,0.752,0.744,0.776,0,2,3,4,10,12,14,17,19,24,28,29,32,33,34,35,37,39,44,46,47,50,51,52,53,54,55,56,58,59
0.696,0.816,0.736,0.744,0.688,0,2,4,5,7,11,15,19,20,22,25,26,27,29,31,32,33,35,36,38,43,44,46,47,48,50,55,56,57,59
0.664,0.824,0.752,0.776,0.704,0,1,3,4,5,9,10,11,14,16,17,18,19,20,21,24,25,28,31,35,39,43,44,46,49,51,53,54,57,58
0.64,0.776,0.76,0.744,0.688,1,2,3,4,6,10,12,17,19,20,21,23,25,27,28,29,30,32,33,34,38,41,45,48,49,52,53,56,57,59
0.712,0.856,0.744,0.768,0.76,3,4,5,7,8,10,11,12,13,14,15,16,18,19,22,24,27,29,30,32,33,34,35,39,42,44,45,50,56,57
0.728,0.792,0.744,0.752,0.712,2,4,5,6,7,10,11,19,20,23,24,25,28,30,34,35,37,39,40,41,43,45,46,47,48,52,54,55,57,58
0.728,0.784,0.76,0.832,0.728,0,1,2,3,4,6,8,9,10,17,22,25,26,29,30,32,34,40,41,42,43,47,48,50,51,52,53,54,56,59
0.64,0.8,0.72,0.744,0.776,1,3,7,9,11,13,16,17,20,21,22,24,25,26,28,30,31,34,35,39,42,46,48,49,52,53,54,55,58,59
0.736,0.768,0.72,0.728,0.696,0,1,3,6,7,8,9,12,13,17,19,21,27,28,29,31,32,33,37,38,39,40,41,42,43,50,55,56,57,58
0.672,0.824,0.728,0.728,0.616,3,5,6,7,9,10,12,13,14,15,16,17,18,23,24,25,27,29,30,33,41,42,46,47,48,52,53,55,56,58
0.72,0.792,0.776,0.792,0.608,0,3,4,5,6,7,9,12,13,15,20,21,24,28,30,31,33,35,37,39,40,43,44,49,50,51,53,54,55,56
0.672,0.808,0.744,0.752,0.64,1,3,4,6,7,8,9,15,16,18,20,21,24,26,27,28,34,38,41,42,43,44,45,47,48,49,53,55,57,59
0.696,0.792,0.72,0.776,0.712,6,8,10,12,13,15,18,19,23,25,26,28,29,31,36,37,38,39,41,42,43,45,47,48,49,53,55,57,58,59
0.696,0.824,0.784,0.744,0.696,0,1,3,5,10,13,14,17,19,21,22,23,24,28,32,33,37,38,40,41,42,43,44,45,47,50,51,52,56,59
0.664,0.816,0.728,0.8,0.728,1,2,5,8,9,11,12,15,17,19,20,21,22,24,25,28,31,32,36,38,41,42,43,46,51,52,53,54,55,56
0.728,0.776,0.776,0.72,0.736,0,1,2,3,5,6,12,14,15,18,19,20,22,25,27,28,31,34,37,39,40,42,44,46,47,48,49,50,52,56
0.792,0.824,0.792,0.8,0.736,0,2,3,4,5,8,9,11,13,18,19,23,24,25,27,30,36,38,39,41,42,46,49,50,52,53,54,55,56,57
0.72,0.832,0.752,0.76,0.752,0,3,8,9,10,11,12,14,16,17,18,20,22,23,24,28,31,33,39,40,43,44,45,47,48,50,51,52,53,57
0.752,0.84,0.824,0.76,0.712,5,6,7,8,9,10,11,14,16,17,18,19,20,21,22,24,31,32,33,34,35,39,43,44,45,48,49,53,55,56
