0.704,0.792,0.728,0.76,0.696,9,10,12,13,15,16,20,24,26,30,31,38,40,44,46,50,52,55
0.704,0.776,0.696,0.728,0.712,3,4,5,8,9,10,11,12,17,19,21,28,29,39,41,50,52,58
0.768,0.8,0.776,0.768,0.608,2,3,8,12,13,15,21,25,27,31,32,35,36,41,48,50,57,59
0.688,0.808,0.696,0.72,0.68,3,6,10,14,17,21,22,26,30,32,34,35,39,45,52,55,56,57
0.624,0.664,0.616,0.672,0.6,1,2,5,6,13,23,27,31,39,40,43,44,52,53,55,56,57,59
0.752,0.824,0.792,0.784,0.752,2,6,9,11,13,14,17,19,20,29,30,36,42,43,44,46,47,52
0.704,0.784,0.72,0.712,0.696,0,2,4,12,17,18,20,21,22,27,34,39,42,43,44,46,51,55
0.68,0.76,0.712,0.72,0.72,4,5,11,18,21,26,29,34,36,37,40,45,49,52,53,55,58,59
0.616,0.824,0.656,0.728,0.72,1,11,13,20,22,24,27,29,31,38,45,46,47,51,53,54,56,57
0.696,0.752,0.72,0.744,0.64,1,4,7,13,14,15,17,19,28,30,35,37,44,45,46,47,49,59
0.712,0.768,0.736,0.72,0.656,1,4,10,11,12,13,16,18,28,34,37,38,43,47,48,55,56,59
0.72,0.76,0.704,0.704,0.656,1,3,15,17,19,22,24,25,27,30,33,37,40,42,46,49,56,59
0.736,0.792,0.68,0.688,0.656,2,6,13,14,17,18,23,28,30,31,32,35,36,39,46,47,53,55
0.664,0.768,0.656,0.704,0.728,3,7,13,15,17,18,20,21,27,28,38,43,45,46,47,50,58,59
0.624,0.744,0.672,0.768,0.656,0,3,4,7,14,25,26,27,28,29,31,37,43,44,51,53,54,59
0.672,0.808,0.648,0.704,0.696,12,19,20,21,25,28,30,32,35,36,38,40,45,47,50,51,54,57
0.792,0.8,0.792,0.712,0.688,1,11,13,16,17,22,23,24,29,35,37,38,40,44,46,48,49,53
0.648,0.8,0.688,0.72,0.72,6,9,10,11,13,15,16,21,22,26,31,32,33,38,45,53,54,57
0.696,0.744,0.656,0.656,0.656,2,5,8,14,17,20,24,25,27,29,30,33,39,41,43,45,58,59
0.744,0.816,0.744,0.728,0.744,0,1,4,7,11,14,18,22,24,27,29,30,31,32,39,41,52,53
0.744,0.752,0.8,0.656,0.616,2,4,7,10,13,14,18,19,20,21,24,30,33,35,37,39,50,59
