0.776,0.832,0.776,0.816,0.68,0,1,2,3,4,5,7,8,9,10,11,12,13,15,16,19,23,24,25,26,27,28,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,49,50,51,52,53,54,56,57,59
0.752,0.84,0.768,0.776,0.68,0,1,2,3,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,30,31,32,35,37,38,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,57,59
0.712,0.832,0.768,0.768,0.736,0,1,2,3,4,5,7,8,9,10,11,13,14,15,16,18,19,20,21,22,23,24,25,28,29,30,31,32,34,36,37,38,39,41,42,43,44,45,46,47,48,49,51,52,53,55,57,58
0.688,0.824,0.776,0.752,0.736,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,27,28,29,30,31,32,33,35,36,38,39,40,41,42,45,47,48,49,51,52,53,54,57,58,59
0.712,0.808,0.808,0.76,0.744,0,1,2,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,27,28,29,30,32,34,35,36,37,38,39,40,41,42,43,44,45,46,48,49,50,53,54,55,56,58,59
0.736,0.792,0.768,0.768,0.728,0,1,3,4,5,6,10,11,12,13,14,15,17,18,19,20,21,22,24,25,27,29,30,32,33,34,35,36,37,39,40,41,42,43,44,45,46,47,49,50,51,52,53,54,55,57,58,59
0.776,0.824,0.776,0.768,0.664,0,1,3,5,6,7,8,9,10,12,13,14,15,16,17,19,20,22,23,24,25,26,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,49,50,52,53,54,56,59
0.696,0.808,0.76,0.8,0.68,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,29,30,32,33,34,36,37,39,40,41,42,43,44,45,46,47,49,52,53,54,57,58,59
0.72,0.84,0.752,0.752,0.672,0,1,2,5,7,8,9,10,11,13,14,15,16,18,19,20,21,22,24,26,27,28,29,30,32,33,34,35,37,38,39,41,42,43,44,45,46,47,50,51,52,53,54,55,56,57,58,59
0.752,0.824,0.776,0.8,0.68,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,23,24,25,26,27,28,29,32,34,36,37,39,40,41,42,43,44,45,46,47,48,49,50,52,53,56,57,58
0.688,0.808,0.736,0.768,0.64,1,2,3,4,5,7,8,9,10,12,13,14,15,17,18,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,40,41,42,43,44,45,46,47,48,51,52,53,55,58,59
0.736,0.84,0.776,0.768,0.672,0,1,2,4,5,8,9,10,11,13,14,16,17,18,19,20,21,22,23,24,26,27,30,31,32,33,34,35,36,37,38,39,40,42,45,46,47,49,50,51,52,53,54,55,56,57,58,59
0.744,0.816,0.76,0.768,0.728,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,27,29,30,31,32,33,34,35,36,37,39,40,41,42,43,44,45,46,48,49,50,52,54,55,56,58,59
